step_size,avg_squared_norm_gradients
1e-4,6.563712234471571e-8
1e-4,4.946085066090215e-8
1e-4,5.2422166272710534e-8
1e-4,4.543893683065884e-8
1e-4,6.035145046574542e-8
1e-4,8.766263513149871e-8
1e-4,8.320977849460102e-8
1e-4,7.964547177365944e-8
1e-4,8.783758594527551e-8
1e-4,4.8698640304204825e-8
1e-4,5.8295393430185524e-8
1e-4,5.5739265849060376e-8
1e-4,5.848908307299894e-8
1e-4,6.967321611585457e-8
1e-4,7.606717305049434e-8
1e-4,7.734202298846545e-8
1e-4,1.378726572818086e-7
1e-4,1.2761857600255647e-7
1e-4,8.831485927783452e-8
1e-4,4.822487282550488e-8
2e-4,6.494135621129734e-8
2e-4,2.7033451075932175e-7
2e-4,2.2544858380418493e-7
2e-4,8.758734202830945e-8
2e-4,1.1998608947614287e-7
2e-4,9.366279019277594e-8
2e-4,6.091175340176373e-8
2e-4,9.194415316026531e-8
2e-4,6.063245341678681e-8
2e-4,1.0191159551441823e-7
2e-4,1.427770735805467e-7
2e-4,1.050140099547292e-7
2e-4,2.388257924299827e-7
2e-4,1.2497924729425829e-7
2e-4,2.1320721345752248e-7
2e-4,7.989018156647395e-8
2e-4,7.559475586198516e-8
2e-4,5.631431682703673e-8
2e-4,1.9729500047785583e-7
2e-4,2.21424265019247e-7
3e-4,1.7172398727277975e-7
3e-4,1.400367455098935e-7
3e-4,1.360304649100641e-7
3e-4,8.917353503328229e-8
3e-4,5.071465211522982e-7
3e-4,9.596314848868322e-8
3e-4,1.1537972143393915e-7
3e-4,3.3448600655259973e-7
3e-4,1.417868778369543e-7
3e-4,2.8089514149579976e-7
3e-4,1.0976855537225087e-7
3e-4,1.4214374872783727e-7
3e-4,2.2888437224383532e-7
3e-4,1.1682260402802551e-7
3e-4,1.269699161161005e-7
3e-4,1.0734264990996205e-7
3e-4,1.613774468144887e-7
3e-4,3.84303246600363e-7
3e-4,9.338929958708775e-8
3e-4,9.277847976747467e-8
4e-4,5.398407166449459e-7
4e-4,1.3530307413430383e-7
4e-4,1.2409484532796e-7
4e-4,1.639405389435448e-7
4e-4,1.3348261837163496e-7
4e-4,1.592409132218364e-7
4e-4,1.0942754079484492e-7
4e-4,2.729386167416692e-7
4e-4,1.7357177593275707e-7
4e-4,1.9193786143970233e-7
4e-4,1.573927469042502e-7
4e-4,2.0307741429590464e-7
4e-4,2.6620047656381967e-7
4e-4,1.8742349608527795e-7
4e-4,2.1887383580849e-7
4e-4,1.6596365567830653e-7
4e-4,2.0534229637287163e-7
4e-4,2.141921857534849e-7
4e-4,2.1329829701267993e-7
4e-4,2.799958446911906e-7
5e-4,1.8972732487784565e-7
5e-4,1.576633521524447e-7
5e-4,2.523932922681382e-7
5e-4,2.4048630868864033e-7
5e-4,2.1190276203408114e-7
5e-4,4.76445602639212e-7
5e-4,2.026092637875602e-7
5e-4,2.668026449075711e-7
5e-4,4.3899883555778746e-7
5e-4,3.955979027679746e-7
5e-4,3.135140470440945e-7
5e-4,2.86600898272719e-7
5e-4,1.658143481510166e-7
5e-4,1.8036171715335078e-7
5e-4,1.8053004762658513e-7
5e-4,2.3778254296651368e-7
5e-4,2.434958455322563e-7
5e-4,1.5951752812526365e-7
5e-4,4.912660918703201e-7
5e-4,1.978021100708105e-7
6e-4,1.8697370475718364e-7
6e-4,2.49654521203387e-7
6e-4,2.04120585839244e-7
6e-4,1.7873916871108027e-7
6e-4,4.0566992509312174e-7
6e-4,2.08053491472171e-7
6e-4,4.4263119249781844e-7
6e-4,4.064820674397396e-7
6e-4,1.6495867122117146e-7
6e-4,2.7300143029537576e-7
6e-4,1.6971142147603757e-7
6e-4,8.532941757858718e-7
6e-4,3.4413342052713366e-7
6e-4,3.837566147380992e-7
6e-4,2.913262960136128e-7
6e-4,2.7371448994699677e-7
6e-4,4.3215042778056064e-7
6e-4,5.766938046111391e-7
6e-4,2.1738439961715983e-7
6e-4,2.822972573819508e-7
7e-4,3.117119153779176e-7
7e-4,3.773153218888344e-7
7e-4,5.299891029112066e-7
7e-4,2.087880608982573e-7
7e-4,6.121903975046195e-7
7e-4,2.72536966875118e-7
7e-4,5.011339338810927e-7
7e-4,2.771581033888045e-7
7e-4,2.3518867603347833e-7
7e-4,2.2886247410021099e-7
7e-4,2.873888499375236e-7
7e-4,2.6545487098594833e-7
7e-4,2.3679256517337894e-7
7e-4,2.887895095520084e-7
7e-4,5.721803970387166e-7
7e-4,3.041969352551632e-7
7e-4,2.55956091421794e-7
7e-4,1.6647196054850137e-7
7e-4,2.4592057134971886e-7
7e-4,2.658624053237209e-7
8e-4,4.893858748783231e-7
8e-4,4.2847333235999466e-7
8e-4,2.1627065869947634e-7
8e-4,2.1497929864603786e-7
8e-4,3.2524997650457503e-7
8e-4,2.715526046342139e-7
8e-4,5.138082511833156e-7
8e-4,3.289163180747086e-7
8e-4,6.361768745148784e-7
8e-4,3.8544913841699707e-7
8e-4,6.031228875486979e-7
8e-4,6.625468369705346e-7
8e-4,2.227800075088974e-7
8e-4,3.452156568831318e-7
8e-4,5.696652534196526e-7
8e-4,3.5013033094190387e-7
8e-4,4.977174750251833e-7
8e-4,6.17632650660956e-7
8e-4,2.9531145300983516e-7
8e-4,2.455329868331783e-7
9e-4,2.974045080973061e-7
9e-4,2.903014421086425e-7
9e-4,4.041774858364988e-7
9e-4,3.7588812701668437e-7
9e-4,3.8741538175048145e-7
9e-4,3.745413811548322e-7
9e-4,3.760292747884364e-7
9e-4,6.03622289149186e-7
9e-4,5.989191713065148e-7
9e-4,3.3973828080616404e-7
9e-4,6.744124080212781e-7
9e-4,2.6720529654132484e-7
9e-4,3.6370944260492404e-7
9e-4,5.254896459767622e-7
9e-4,4.76949117667047e-7
9e-4,4.152012081957442e-7
9e-4,3.2783287454911657e-7
9e-4,6.09176833850474e-7
9e-4,7.12876802579269e-7
9e-4,4.987808774731188e-7
0.001,4.948946429880862e-7
0.001,9.65133013572957e-7
0.001,1.428789960285215e-6
0.001,7.037656220494645e-7
0.001,2.7374780504167974e-7
0.001,4.951723651455354e-7
0.001,7.445580308509392e-7
0.001,5.828474017324226e-7
0.001,4.792864012291176e-7
0.001,5.690982872804303e-7
0.001,1.144735177359261e-6
0.001,6.374861891804547e-7
0.001,1.04651758099538e-6
0.001,1.1691699785594997e-6
0.001,8.283681683273869e-7
0.001,2.6512814833630215e-7
0.001,3.829051009107095e-7
0.001,6.014495765205889e-7
0.001,3.154413385528206e-7
0.001,8.762939675585576e-7
